symbol,name,category
APTV,Aptiv,stock
KO,Coca-Cola Company (The),stock
DAL,Delta Air Lines,stock
INTU,Intuit,stock
ISRG,Intuitive Surgical,stock
JKHY,Jack Henry & Associates,stock
MRNA,Moderna,stock
PLD,Prologis,stock
QRVO,Qorvo,stock
WHR,Whirlpool Corporation,stock
D,Dominion Energy,stock
GE,General Electric,stock
KMB,Kimberly-Clark,stock
PYPL,PayPal,stock
PFG,Principal Financial Group,stock
RSG,Republic Services,stock
RMD,ResMed,stock
SNPS,Synopsys,stock
ULTA,Ulta Beauty,stock
WAT,Waters Corporation,stock
AMZN,Amazon,stock
AIZ,Assurant,stock
CF,CF Industries,stock
CMS,CMS Energy,stock
FOXA,Fox Corporation (Class A),stock
ILMN,Illumina,stock
MGM,MGM Resorts,stock
UHS,Universal Health Services,stock
BALL,Ball Corporation,stock
CDAY,Ceridian,stock
COST,Costco,stock
EVRG,Evergy,stock
GEN,Gen Digital,stock
MTCH,Match Group,stock
TAP,Molson Coors Beverage Company,stock
MCO,Moody's Corporation,stock
ORLY,O'Reilly Auto Parts,stock
AAPL,Apple Inc.,stock
BF.B,Brown–Forman,stock
CAH,Cardinal Health,stock
SCHW,Charles Schwab Corporation,stock
FE,FirstEnergy,stock
NOC,Northrop Grumman,stock
ODFL,Old Dominion,stock
OTIS,Otis Worldwide,stock
O,Realty Income,stock
VTRS,Viatris,stock
ABBV,AbbVie,stock
BLK,BlackRock,stock
DRI,Darden Restaurants,stock
FRC,First Republic Bank,stock
GILD,Gilead Sciences,stock
NEE,NextEra Energy,stock
SHW,Sherwin-Williams,stock
VRSN,Verisign,stock
ZBRA,Zebra Technologies,stock
ANET,Arista Networks,stock
CMCSA,Comcast,stock
NVR,"NVR, Inc.",stock
ROL,"Rollins, Inc.",stock
LUV,Southwest Airlines,stock
WBA,Walgreens Boots Alliance,stock
AMP,Ameriprise Financial,stock
ADI,Analog Devices,stock
COF,Capital One,stock
CBOE,Cboe Global Markets,stock
DVA,DaVita Inc.,stock
XRAY,Dentsply Sirona,stock
DPZ,Domino's,stock
EXC,Exelon,stock
EXR,Extra Space Storage,stock
MCK,McKesson,stock
SJM,J.M. Smucker Company (The),stock
TMO,Thermo Fisher Scientific,stock
VZ,Verizon,stock
GWW,W. W. Grainger,stock
XEL,Xcel Energy,stock
T,AT&T,stock
CNC,Centene Corporation,stock
ETN,Eaton Corporation,stock
ECL,Ecolab,stock
PEAK,Healthpeak,stock
HUM,Humana,stock
J,Jacobs Solutions,stock
